"stockkey","stockkeylabel","stockkeylabelold","assessmentyear","purpose","published"
100105,"her-2224","her-2224",1986,NA,NA
100002,"her-2527","her-2527",1986,NA,NA
100002,"her-2527","her-2527",1987,NA,NA
100002,"her-2527","her-2527",1988,NA,NA
100002,"her-2527","her-2527",1989,NA,NA
100003,"her-2532","her-2532",1986,NA,NA
100003,"her-2532","her-2532",1987,NA,NA
100003,"her-2532","her-2532",1988,NA,NA
100003,"her-2532","her-2532",1989,NA,NA
100003,"her-2532","her-2532",1990,NA,NA
100003,"her-2532","her-2532",1991,NA,NA
100003,"her-2532","her-2532",1992,NA,NA
100003,"her-2532","her-2532",1993,NA,NA
100003,"her-2532","her-2532",1994,NA,NA
100003,"her-2532","her-2532",1995,NA,NA
100003,"her-2532","her-2532",1996,NA,NA
100004,"her-2829","her-2829",1986,NA,NA
100004,"her-2829","her-2829",1987,NA,NA
100004,"her-2829s","her-2829s",1988,NA,NA
100004,"her-2829s","her-2829s",1989,NA,NA
100006,"her-293031w","her-293031w",1986,NA,NA
100006,"her-293031w","her-293031w",1987,NA,NA
100006,"her-293031w","her-293031w",1988,NA,NA
100006,"her-293031w","her-293031w",1989,NA,NA
100034,"her-2930e","her-2930e",1986,NA,NA
100034,"her-2930e","her-2930e",1987,NA,NA
100034,"her-2930e","her-2930e",1988,NA,NA
100034,"her-2930e","her-2930e",1989,NA,NA
100005,"her-31e","her-31e",1986,NA,NA
100005,"her-31e","her-31e",1987,NA,NA
100005,"her-31e","her-31e",1988,NA,NA
100005,"her-31e","her-31e",1989,NA,NA
100104,"her-3a","her-3a",1986,NA,NA
100076,"her-47d","her-47d",1982,"advice",TRUE
100076,"her-47d","her-47d",1983,"advice",TRUE
100076,"her-47d","her-47d",1984,"advice",TRUE
100076,"her-47d","her-47d",1985,"advice",TRUE
100076,"her-47d","her-47d",1986,"advice",TRUE
100076,"her-47d","her-47d",1987,"advice",TRUE
100076,"her-47d","her-47d",1988,"advice",TRUE
100076,"her-47d","her-47d",1989,"advice",TRUE
100084,"her-47de","her-47de",1977,"advice",TRUE
100084,"her-47de","her-47de",1978,"no assessment",FALSE
100084,"her-47de","her-47de",1979,"no assessment",FALSE
100084,"her-47de","her-47de",1980,"no assessment",FALSE
100077,"her-4ab","her-4ab",1981,"no assessment",FALSE
100077,"her-4ab","her-4ab",1982,"no assessment",FALSE
100077,"her-4ab","her-4ab",1983,"advice",TRUE
100077,"her-4ab","her-4ab",1984,"advice",TRUE
100077,"her-4ab","her-4ab",1984,"biennial",TRUE
100077,"her-4ab","her-4ab",1985,"advice",TRUE
100077,"her-4ab","her-4ab",1986,"advice",TRUE
100077,"her-4ab","her-4ab",1987,"advice",TRUE
100077,"her-4ab","her-4ab",1988,"advice",TRUE
100077,"her-4ab","her-4ab",1989,"advice",TRUE
100077,"her-4ab","her-4ab",1990,"no assessment",FALSE
100077,"her-4ab","her-4ab",1991,"no assessment",FALSE
100077,"her-4ab","her-4ab",1992,"no assessment",FALSE
100078,"her-4c7d","her-4c7d",1981,"no assessment",FALSE
100078,"her-4c7d","her-4c7d",1982,"no assessment",FALSE
100078,"her-4c7d","her-4c7d",1983,"advice",TRUE
100078,"her-4c7d","her-4c7d",1984,"advice",TRUE
100078,"her-4c7d","her-4c7d",1984,"biennial",TRUE
100078,"her-4c7d","her-4c7d",1985,"advice",TRUE
100078,"her-4c7d","her-4c7d",1986,"advice",TRUE
100078,"her-4c7d","her-4c7d",1987,"advice",TRUE
100078,"her-4c7d","her-4c7d",1988,"exploratory",FALSE
100078,"her-4c7d","her-4c7d",1989,"exploratory",FALSE
100078,"her-4c7d","her-4c7d",1990,"advice",TRUE
100078,"her-4c7d","her-4c7d",1991,"advice",TRUE
100078,"her-4c7d","her-4c7d",1992,"no assessment",FALSE
100047,"her-clyd","her-clyd",1986,"advice",NA
100047,"her-clyd","her-clyd",1987,"advice",NA
100047,"her-clyd","her-clyd",1988,"advice",NA
100047,"her-clyd","her-clyd",1989,"advice",NA
100047,"her-clyd","her-clyd",1990,"advice",NA
100047,"her-clyd","her-clyd",1991,"advice",NA
100047,"her-clyd","her-clyd",1992,"advice",NA
100047,"her-clyd","her-clyd",1993,"advice",NA
100047,"her-clyd","her-clyd",1994,"advice",NA
100047,"her-clyd","her-clyd",1995,"advice",NA
100047,"her-clyd","her-clyd",1996,"advice",NA
100007,"her-finl","her-finl",1986,NA,NA
100007,"her-finl","her-finl",1987,NA,NA
100007,"her-finl","her-finl",1988,NA,NA
100007,"her-finl","her-finl",1989,NA,NA
